,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,Latitude,Longitude,geometry,BuildingAge
601,799,2015,nonresidential,distribution center,1,GREATER DUWAMISH,1.0,1.0,54880,0,54880,distribution center,55000.0,No information,0.0,No information,0.0,35.0,2505271.0,0.0,1190055.0,1315265.0,83.84,47.52593209,-122.3308402,POINT (-122.3308402 47.52593209),36
602,800_2015,2015,nonresidential,retail store,1,DELRIDGE,1.0,1.0,113390,0,113390,retail store,99471.0,parking,0.0,No information,0.0,80.0,7323351.0,0.0,5071562.0,2252000.0,154.96,47.52224416,-122.3684832,POINT (-122.3684832 47.52224416),23
604,802_2015,2015,nonresidential,supermarket/grocery store,2,GREATER DUWAMISH,1.0,1.0,50785,0,50785,supermarket/grocery store,27382.0,No information,0.0,No information,0.0,59.0,7144738.0,0.0,4432212.0,2712711.0,174.97,47.57902013,-122.2998245,POINT (-122.2998245 47.57902013),52
605,803,2015,nonresidential,small- and mid-sized office,1,DELRIDGE,1.0,3.0,85126,0,85126,office,81526.0,No information,0.0,No information,0.0,99.0,2019254.0,0.0,1234822.0,784483.0,108.2,47.54106841,-122.3376829,POINT (-122.3376829 47.54106841),86
607,805,2015,nonresidential,distribution center,2,GREATER DUWAMISH,1.0,1.0,411584,0,411584,distribution center,288048.0,non-refrigerated warehouse,83683.0,refrigerated warehouse,35760.0,48.0,13779936.0,0.0,7370004.0,6410237.0,423.605,47.56485509,-122.338006,POINT (-122.338006 47.56485509),29
609,807,2015,nonresidential,large office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,242686,100176,142510,office,149081.0,parking,76364.0,No information,0.0,72.0,9207485.0,0.0,9207866.0,0.0,65.85,47.62566459,-122.3680201,POINT (-122.3680201 47.62566459),7
610,809,2015,nonresidential,small- and mid-sized office,2,DOWNTOWN,1.0,6.0,95760,15840,79920,office,95760.0,No information,0.0,No information,0.0,81.0,5530880.0,0.0,4767878.0,763200.0,74.11,47.59894805,-122.332488,POINT (-122.332488 47.59894805),115
611,811_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,1.0,179413,0,179413,non-refrigerated warehouse,178087.0,No information,0.0,No information,0.0,79.0,2290681.0,0.0,2290776.0,0.0,15.97,47.56732628,-122.3352433,POINT (-122.3352433 47.56732628),69
613,813_2015,2015,nonresidential,non-refrigerated warehouse,1,DELRIDGE,1.0,1.0,170632,0,170632,non-refrigerated warehouse,164806.0,office,5826.0,No information,0.0,97.0,666392.0,0.0,666420.0,0.0,4.65,47.57260151,-122.3577988,POINT (-122.3577988 47.57260151),49
614,814,2015,nonresidential,large office,7,MAGNOLIA / QUEEN ANNE,1.0,10.0,381511,0,381511,office,220033.0,parking,168978.0,No information,0.0,85.0,11813861.0,0.0,11314716.0,499616.0,105.765,47.63266558,-122.3416858,POINT (-122.3416858 47.63266558),21
