,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,Latitude,Longitude,geometry,BuildingAge
3185,42069,2015,nonresidential,small- and mid-sized office,4,LAKE UNION,1.0,1.0,26263,0,26263,office,26263.0,No information,0.0,No information,0.0,54.0,1821047.0,0.0,1821122.0,0.0,12.05,47.64759569,-122.3335592,POINT (-122.3335592 47.64759569),22
3201,49687_2015,2015,nonresidential,supermarket/grocery store,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,33997,0,33997,supermarket/grocery store,33997.0,parking,30000.0,No information,0.0,23.0,9159185.0,0.0,8388133.0,771400.0,99.44,47.62392426,-122.35764313,POINT (-122.35764313 47.62392426),12
3203,49695_2015,2015,nonresidential,large office,7,LAKE UNION,1.0,11.0,526423,190431,335992,office,400536.0,parking,182439.0,other,7177.0,98.0,16614404.0,0.0,16044395.0,570676.0,142.16,47.61987314,-122.33594343,POINT (-122.33594343 47.61987314),3
3204,49697,2015,nonresidential,mixed use property,7,DOWNTOWN,1.0,6.0,74211,0,74211,office,33279.0,multifamily housing,29878.0,parking,8421.0,97.0,1391569.0,0.0,1391627.0,0.0,9.58,47.60120521,-122.3351985,POINT (-122.3351985 47.60120521),113
3206,49699_2015,2015,nonresidential,non-refrigerated warehouse,2,SOUTHEAST,1.0,2.0,45700,0,45700,non-refrigerated warehouse,293707.0,No information,0.0,No information,0.0,99.0,1507270.0,0.0,1443930.0,63400.0,13.43,47.50991348,-122.27726192,POINT (-122.27726192 47.50991348),27
3207,49703,2015,sps-district k-12,k-12 school,7,MAGNOLIA / QUEEN ANNE,1.0,1.0,116101,0,116101,k-12 school,117299.0,No information,0.0,No information,0.0,65.0,6344171.0,0.0,1301302.0,5042923.0,271.05499999999995,47.64166106,-122.3985587,POINT (-122.3985587 47.64166106),63
3214,49712_2015,2015,nonresidential,large office,2,GREATER DUWAMISH,1.0,6.0,157345,45083,112262,office,157345.0,No information,0.0,No information,0.0,91.0,7205135.0,0.0,7069944.0,135486.0,56.48,47.58923721,-122.33470154,POINT (-122.33470154 47.58923721),3
3226,49732,2015,nonresidential,hospital,4,NORTHEAST,1.0,8.0,330000,0,330000,hospital (general medical & surgical),241500.0,No information,0.0,No information,0.0,83.0,48729588.0,0.0,24505585.0,24225020.0,1623.555,47.66139776,-122.2846958,POINT (-122.2846958 47.66139776),2
3231,49737_2015,2015,nonresidential,retail store,7,MAGNOLIA / QUEEN ANNE,1.0,3.0,43832,13038,30794,retail store,24588.0,hotel,17558.0,parking,1686.0,67.0,3678939.0,0.0,1452219.0,2226780.0,128.39,47.625,-122.35627747,POINT (-122.35627747 47.625),97
3238,49775_2015,2015,nonresidential,supermarket/grocery store,1,SOUTHWEST,1.0,1.0,80980,0,80980,supermarket/grocery store,67263.0,No information,0.0,No information,0.0,80.0,14981114.0,0.0,9085851.0,5895640.0,376.46,47.58017175,-122.38652922,POINT (-122.38652922 47.58017175),4
3239,49776_2015,2015,nonresidential,large office,7,DOWNTOWN,1.0,13.0,358259,149326,208933,office,194687.0,parking,149326.0,multifamily housing,38225.0,81.0,14935251.0,0.0,14090968.0,844867.0,143.1,47.61131062,-122.3439771,POINT (-122.3439771 47.61131062),27
3241,49778,2015,nonresidential,worship facility,4,NORTHEAST,1.0,2.0,70292,0,70292,worship facility,70292.0,No information,0.0,No information,0.0,35.0,1789710.0,0.0,1099003.0,690753.0,50.97,47.67062411,-122.2709065,POINT (-122.2709065 47.67062411),7
3246,49784_2015,2015,nonresidential,small- and mid-sized office,3,CENTRAL,1.0,6.0,41929,0,41929,office,48159.0,No information,0.0,No information,0.0,100.0,562479.0,0.0,562503.0,0.0,3.92,47.61434963,-122.3124641,POINT (-122.3124641 47.61434963),2
3255,49793_2015,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,3.0,83533,28217,55316,office,83533.0,parking,28217.0,No information,0.0,100.0,1377184.0,0.0,1377241.0,0.0,9.6,47.63484955,-122.3767395,POINT (-122.3767395 47.63484955),2
3257,49797_2015,2015,nonresidential,small- and mid-sized office,3,DOWNTOWN,1.0,3.0,64578,0,64578,office,47000.0,No information,0.0,No information,0.0,72.0,2401148.0,0.0,2343683.0,57562.0,19.4,47.59720707,-122.3130172,POINT (-122.3130172 47.59720707),2
3260,49802_2015,2015,nonresidential,hotel,6,BALLARD,1.0,4.0,62381,0,62381,hotel,60245.0,parking,26067.0,swimming pool,0.0,57.0,3625434.0,0.0,3625585.0,0.0,25.27,47.66622925,-122.38254547,POINT (-122.38254547 47.66622925),2
3267,49829_2015,2015,nonresidential,senior care community,3,CENTRAL,1.0,6.0,79805,7000,72805,senior care community,79805.0,parking,7000.0,No information,0.0,28.0,7369591.0,0.0,4670464.0,2699320.0,175.92,47.61860512,-122.30352424,POINT (-122.30352424 47.61860512),2
3269,49850,2015,nonresidential,k-12 school,5,NORTHWEST,1.0,2.0,48925,0,48925,k-12 school,63500.0,No information,0.0,No information,0.0,72.0,2202114.0,0.0,1433150.0,769023.0,36.795,47.731823,-122.3262515,POINT (-122.3262515 47.731823),1
3271,49858,2015,nonresidential,k-12 school,3,EAST,1.0,2.0,35780,0,35780,k-12 school,38000.0,No information,0.0,No information,0.0,67.0,2066665.0,0.0,1375705.0,691017.0,48.94,47.61403196,-122.32659794,POINT (-122.32659794 47.61403196),1
3276,49867_2015,2015,nonresidential,large office,2,GREATER DUWAMISH,1.0,7.0,324765,0,324765,office,191333.0,parking,133432.0,No information,0.0,100.0,3141319.0,0.0,2848002.0,293435.0,35.44,47.58950718,-122.33426638,POINT (-122.33426638 47.58950718),1
3305,49940,2015,nonresidential,hospital,3,EAST,1.0,8.0,374466,0,374466,No information,0.0,No information,0.0,No information,0.0,97.0,78652064.0,47648276.0,31005073.0,0.0,5112.46,47.60984009,-122.3274412,POINT (-122.3274412 47.60984009),95
3309,49946_2015,2015,nonresidential,supermarket/grocery store,6,BALLARD,1.0,8.0,41198,0,41198,supermarket/grocery store,41198.0,No information,0.0,No information,0.0,64.0,6879291.0,0.0,6287291.0,592260.0,75.28,47.67057565,-122.3866853,POINT (-122.3866853 47.67057565),5
3314,49985_2015,2015,nonresidential,large office,7,LAKE UNION,1.0,6.0,427181,169195,257986,office,427181.0,parking,169195.0,No information,0.0,99.0,16730779.0,0.0,14692982.0,2038408.0,210.69,47.6233466,-122.33968176,POINT (-122.33968176 47.6233466),1
3334,50038,2015,nonresidential,mixed use property,7,MAGNOLIA / QUEEN ANNE,1.0,2.0,25532,0,25532,office,11745.0,"repair services (vehicle, shoe, locksmith, etc)",11745.0,No information,0.0,84.0,628609.0,0.0,628635.0,0.0,4.38,47.66199875,-122.3867569,POINT (-122.3867569 47.66199875),1
3342,3_2016,2016,nonresidential,hotel,7,DOWNTOWN,1.0,41.0,956110,196718,759392,hotel,756493.0,No information,0.0,No information,0.0,43.0,72587024.0,21566554.0,49526664.0,1493800.0,2089.28,47.61393,-122.3381,POINT (-122.3381 47.61393),47
3344,8_2016,2016,nonresidential,hotel,7,DOWNTOWN,1.0,18.0,175580,62000,113580,hotel,123445.0,parking,68009.0,swimming pool,0.0,75.0,14172606.0,0.0,5368607.0,8803998.0,505.01,47.61375,-122.34047,POINT (-122.34047 47.61375),36
3354,19_2016,2016,nonresidential,hotel,7,DOWNTOWN,1.0,11.0,92190,25200,66990,hotel,67390.0,parking,25200.0,No information,0.0,35.0,10750010.0,4870847.5,3832369.0,2046793.0,511.39,47.60755,-122.33244,POINT (-122.33244 47.60755),94
3375,43,2016,campus,mixed use property,2,GREATER DUWAMISH,1.0,3.0,494835,0,494835,office,757027.0,laboratory,639931.0,non-refrigerated warehouse,459748.0,8.0,448385312.0,0.0,150476283.0,297909000.0,16870.98,47.53493,-122.31788,POINT (-122.31788 47.53493),24
3403,89_2016,2016,nonresidential,medical office,3,EAST,0.0,3.0,179014,0,179014,medical office,179014.0,No information,0.0,No information,0.0,48.0,16701055.0,0.0,9886484.0,6814570.0,430.84,47.61244,-122.3214,POINT (-122.3214 47.61244),51
3419,116_2016,2016,nonresidential,hotel,7,MAGNOLIA / QUEEN ANNE,1.0,6.0,96910,36934,59976,hotel,59976.0,parking,36934.0,No information,0.0,56.0,5155568.5,0.0,2637011.0,2518558.0,152.14,47.62291,-122.35708,POINT (-122.35708 47.62291),14
3420,117_2016,2016,nonresidential,hotel,4,NORTHEAST,2.0,4.0,50017,0,50017,hotel,50017.0,swimming pool,0.0,No information,0.0,53.0,5448975.0,0.0,2128306.0,3320669.0,191.2,47.65772,-122.31756,POINT (-122.31756 47.65772),54
3438,147_2016,2016,nonresidential,hospital,6,BALLARD,4.0,5.0,285333,0,285333,hospital (general medical & surgical),302661.0,parking,148865.0,No information,0.0,14.0,68090728.0,0.0,35237205.0,32853512.0,1990.5,47.66737,-122.37956,POINT (-122.37956 47.66737),62
3455,183_2016,2016,nonresidential,residence hall,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,139600,37500,102100,residence hall/dormitory,135520.0,No information,0.0,No information,0.0,89.0,4448582.5,0.0,2316298.0,2132284.0,129.39,47.65068,-122.36331,POINT (-122.36331 47.65068),15
3464,198_2016,2016,nonresidential,hospital,4,NORTHEAST,6.0,10.0,879000,0,879000,hospital (general medical & surgical),879000.0,No information,0.0,No information,0.0,10.0,253832464.0,0.0,115641210.0,138191238.0,8145.52,47.66231,-122.28146,POINT (-122.28146 47.66231),63
3471,215_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,4.0,114297,0,114297,non-refrigerated warehouse,114297.0,No information,0.0,No information,0.0,61.0,2100097.75,0.0,912475.0,1187623.0,69.44,47.55152,-122.31869,POINT (-122.31869 47.55152),112
3474,220_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,234144,0,234144,non-refrigerated warehouse,234144.0,No information,0.0,No information,0.0,87.0,6744317.0,0.0,1316817.0,5427500.0,297.43,47.55901,-122.33328,POINT (-122.33328 47.55901),79
3494,244_2016,2016,nonresidential,small- and mid-sized office,7,DOWNTOWN,1.0,3.0,44558,0,44558,office,34416.0,self-storage facility,7672.0,restaurant,2470.0,78.0,1677002.25,0.0,1317637.0,359365.0,28.27,47.60105,-122.33518,POINT (-122.33518 47.60105),116
3500,257_2016,2016,nonresidential,warehouse,1,GREATER DUWAMISH,0.0,4.0,79600,0,79600,non-refrigerated warehouse,79600.0,No information,0.0,No information,0.0,34.0,2411402.25,0.0,2411402.0,0.0,16.81,47.57507,-122.35747,POINT (-122.35747 47.57507),100
3501,260_2016,2016,sps-district k-12,k-12 school,4,LAKE UNION,1.0,4.0,241066,0,241066,k-12 school,241066.0,No information,0.0,No information,0.0,79.0,7791957.0,0.0,3096316.0,4695641.0,270.97,47.65996,-122.33962,POINT (-122.33962 47.65996),19
3507,268_2016,2016,nonresidential,hospital,3,CENTRAL,6.0,5.0,597519,0,597519,hospital (general medical & surgical),601615.0,parking,48607.0,No information,0.0,34.0,143423024.0,0.0,58754927.0,84668094.0,4906.33,47.60705,-122.30966,POINT (-122.30966 47.60705),26
3509,274_2016,2016,nonresidential,warehouse,4,LAKE UNION,1.0,3.0,75397,8161,67236,non-refrigerated warehouse,67236.0,parking,8161.0,No information,0.0,91.0,549181.375,0.0,423381.0,125800.0,9.63,47.65097,-122.34227,POINT (-122.34227 47.65097),25
3510,276_2016,2016,nonresidential,hospital,3,EAST,9.0,8.0,1158691,0,1158691,hospital (general medical & surgical),1350182.0,parking,387651.0,No information,0.0,29.0,293090784.0,122575032.0,168683602.0,1832129.0,10734.57,47.60399,-122.32377,POINT (-122.32377 47.60399),16
3526,294_2016,2016,nonresidential,residence hall,7,DOWNTOWN,1.0,9.0,107572,0,107572,residence hall/dormitory,63934.0,office,27143.0,retail store,10568.0,76.0,5572503.0,3076446.5,2496056.0,0.0,254.87,47.6079,-122.33266,POINT (-122.33266 47.6079),103
3539,319_2016,2016,nonresidential,small- and mid-sized office,7,DOWNTOWN,1.0,4.0,56500,0,56500,office,33000.0,retail store,7000.0,No information,0.0,98.0,1380293.625,492761.8125,887532.0,0.0,44.22,47.60271,-122.33557,POINT (-122.33557 47.60271),102
3540,320_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,4.0,203504,0,203504,non-refrigerated warehouse,159372.0,other - services,44132.0,No information,0.0,72.0,3785282.5,0.0,3785282.0,0.0,26.39,47.59486,-122.32455,POINT (-122.32455 47.59486),8
3541,322_2016,2016,nonresidential,large office,7,DOWNTOWN,0.0,3.0,100734,26731,74003,office,100734.0,No information,0.0,No information,0.0,20.0,9788717.0,0.0,9788716.0,0.0,68.24,47.61757,-122.35122,POINT (-122.35122 47.61757),48
3542,323_2016,2016,nonresidential,small- and mid-sized office,7,DOWNTOWN,1.0,4.0,77662,18504,59158,office,62108.0,parking,17570.0,No information,0.0,57.0,5007401.0,0.0,4286102.0,721298.0,68.19,47.61703,-122.35012,POINT (-122.35012 47.61703),35
3573,357_2016,2016,nonresidential cos,large office,3,DOWNTOWN,1.0,63.0,1354987,159600,1195387,office,1191115.0,parking,159599.0,other,18656.0,89.0,61576184.0,0.0,61576180.0,0.0,429.27,47.60501,-122.32988,POINT (-122.32988 47.60501),26
3579,364,2016,nonresidential,large office,4,NORTHEAST,1.0,23.0,474546,0,474546,office,474546.0,No information,0.0,No information,0.0,77.0,28450436.0,0.0,28450433.0,0.0,198.34,47.66072,-122.31466,POINT (-122.31466 47.66072),45
3580,365,2016,nonresidential,other,4,NORTHEAST,1.0,5.0,36000,0,36000,data center,36000.0,No information,0.0,No information,0.0,96.0,30038490.0,0.0,30038487.0,0.0,209.41,47.6606,-122.31512,POINT (-122.31512 47.6606),47
3581,366_2016,2016,nonresidential,small- and mid-sized office,4,NORTHEAST,0.0,5.0,99005,0,99005,office,79555.0,No information,0.0,No information,0.0,70.0,4728488.5,0.0,2863212.0,1865277.0,119.03,47.661,-122.31626,POINT (-122.31626 47.661),55
3586,371_2016,2016,nonresidential,mixed use property,7,DOWNTOWN,1.0,11.0,381381,195621,185760,parking,182820.0,office,164192.0,fitness center/health club/gym,37782.0,94.0,9765777.0,0.0,9671822.0,93954.0,72.42,47.6177,-122.3306,POINT (-122.3306 47.6177),16
3594,381_2016,2016,nonresidential,supermarket / grocery store,6,NORTHWEST,1.0,1.0,60880,0,60880,supermarket/grocery store,61666.0,No information,0.0,No information,0.0,54.0,14293972.0,0.0,8125218.0,6168753.0,384.27,47.7019,-122.36374,POINT (-122.36374 47.7019),60
3597,384_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,128800,0,128800,non-refrigerated warehouse,119200.0,other,9600.0,No information,0.0,97.0,1809101.5,0.0,371850.0,1437252.0,78.92,47.54066,-122.33023,POINT (-122.33023 47.54066),39
3604,391_2016,2016,nonresidential,mixed use property,2,GREATER DUWAMISH,0.0,1.0,88400,0,88400,non-refrigerated warehouse,33450.0,office,29620.0,distribution center,27715.0,42.0,4383100.5,0.0,2530658.0,1852442.0,116.03,47.52871,-122.29443,POINT (-122.29443 47.52871),46
3605,392_2016,2016,nonresidential,warehouse,5,NORTHWEST,1.0,1.0,52311,0,52311,non-refrigerated warehouse,51116.0,No information,0.0,No information,0.0,96.0,930611.875,0.0,16765.0,913847.0,48.65,47.72912,-122.34677,POINT (-122.34677 47.72912),56
3608,395_2016,2016,nonresidential,warehouse,6,BALLARD,1.0,1.0,52500,0,52500,non-refrigerated warehouse,49395.0,office,5853.0,No information,0.0,2.0,3989399.0,0.0,3064777.0,924621.0,70.47,47.65825,-122.3683,POINT (-122.3683 47.65825),43
3609,396_2016,2016,nonresidential,warehouse,6,BALLARD,1.0,2.0,57300,0,57300,non-refrigerated warehouse,29001.0,office,28299.0,No information,0.0,55.0,4560492.0,0.0,1853914.0,2706578.0,156.67,47.66587,-122.38476,POINT (-122.38476 47.66587),57
3618,408_2016,2016,nonresidential,large office,7,DOWNTOWN,0.0,10.0,132326,0,132326,office,92006.0,other,12610.0,retail store,9835.0,72.0,6029020.0,328247.0938,5698221.0,2551.0,65.2,47.61005,-122.3361,POINT (-122.3361 47.61005),90
3620,410_2016,2016,nonresidential,hotel,7,DOWNTOWN,0.0,19.0,332067,59280,272787,hotel,332067.0,No information,0.0,No information,0.0,6.0,37785552.0,15586014.0,19800542.0,2398995.0,1468.5,47.60996,-122.33572,POINT (-122.33572 47.60996),43
3652,444_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,123061,0,123061,non-refrigerated warehouse,123061.0,No information,0.0,No information,0.0,59.0,1987934.625,0.0,1987934.0,0.0,13.86,47.56064,-122.32522,POINT (-122.32522 47.56064),15
3654,447_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,106000,0,106000,non-refrigerated warehouse,106001.0,No information,0.0,No information,0.0,93.0,763364.5,0.0,763364.0,0.0,5.32,47.5471,-122.32406,POINT (-122.32406 47.5471),53
3655,449_2016,2016,nonresidential,large office,4,LAKE UNION,1.0,3.0,158600,38400,120200,office,125779.0,parking,32821.0,laboratory,20000.0,19.0,18309150.0,0.0,15941028.0,2368120.0,236.9,47.63349,-122.32634,POINT (-122.32634 47.63349),54
3659,456_2016,2016,nonresidential,large office,7,MAGNOLIA / QUEEN ANNE,2.0,5.0,213283,115228,98055,office,105563.0,parking,0.0,No information,0.0,83.0,5661689.5,0.0,5661689.0,0.0,39.47,47.62929,-122.34194,POINT (-122.34194 47.62929),20
3677,474_2016,2016,nonresidential,warehouse,3,LAKE UNION,1.0,5.0,127800,0,127800,non-refrigerated warehouse,127800.0,No information,0.0,No information,0.0,56.0,2767491.0,0.0,2545590.0,221900.0,29.53,47.62572,-122.33389,POINT (-122.33389 47.62572),102
3694,497_2016,2016,nonresidential,warehouse,1,SOUTHWEST,1.0,4.0,98475,0,98475,non-refrigerated warehouse,98475.0,No information,0.0,No information,0.0,83.0,1090496.625,0.0,768997.0,321500.0,22.44,47.56885,-122.37121,POINT (-122.37121 47.56885),19
3695,498_2016,2016,nonresidential,hospital,3,LAKE UNION,1.0,7.0,351530,150455,201075,hospital (general medical & surgical),215602.0,No information,0.0,No information,0.0,23.0,42709624.0,0.0,26781892.0,15927728.0,1032.63,47.62667,-122.32965,POINT (-122.32965 47.62667),16
3696,500_2016,2016,nonresidential,supermarket / grocery store,5,NORTH,1.0,2.0,308965,187878,121087,supermarket/grocery store,121087.0,parking,0.0,parking,0.0,78.0,14512786.0,0.0,10680826.0,3831959.0,277.98,47.7237,-122.29232,POINT (-122.29232 47.7237),21
3697,503_2016,2016,nonresidential,supermarket / grocery store,2,GREATER DUWAMISH,1.0,1.0,63225,0,63225,supermarket/grocery store,63225.0,No information,0.0,No information,0.0,100.0,6522551.5,0.0,6522551.0,0.0,45.47,47.56895,-122.33775,POINT (-122.33775 47.56895),8
3699,507_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,243044,0,243044,non-refrigerated warehouse,325424.0,No information,0.0,No information,0.0,100.0,1396082.25,0.0,700977.0,695105.0,41.8,47.56419,-122.34262,POINT (-122.34262 47.56419),17
3703,515_2016,2016,nonresidential,warehouse,5,NORTHWEST,1.0,3.0,94400,0,94400,non-refrigerated warehouse,67155.0,No information,0.0,No information,0.0,38.0,784364.5,0.0,680865.0,103500.0,10.24,47.72377,-122.34095,POINT (-122.34095 47.72377),17
3705,517_2016,2016,nonresidential,supermarket / grocery store,5,NORTHWEST,0.0,1.0,144776,0,144776,wholesale club/supercenter,144776.0,No information,0.0,No information,0.0,56.0,13424079.0,0.0,10307295.0,3116783.0,237.39,47.72803,-122.34214,POINT (-122.34214 47.72803),32
3707,519_2016,2016,nonresidential,supermarket / grocery store,5,NORTHWEST,1.0,1.0,50083,0,50083,supermarket/grocery store,50065.0,parking,0.0,No information,0.0,78.0,8663691.0,0.0,6528390.0,2135300.0,158.92,47.7235,-122.34458,POINT (-122.34458 47.7235),19
3708,520_2016,2016,nonresidential,large office,6,LAKE UNION,1.0,3.0,124071,28645,95426,office,96504.0,No information,0.0,No information,0.0,73.0,4991360.5,0.0,4989211.0,2149.0,34.9,47.65086,-122.35412,POINT (-122.35412 47.65086),28
3715,527_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,2.0,90000,0,90000,non-refrigerated warehouse,70000.0,office,20000.0,No information,0.0,87.0,1429146.375,0.0,1272922.0,156224.0,17.17,47.54983,-122.32858,POINT (-122.32858 47.54983),49
3718,530_2016,2016,nonresidential,warehouse,6,BALLARD,1.0,2.0,63240,0,63240,non-refrigerated warehouse,63240.0,No information,0.0,No information,0.0,100.0,227566.7031,0.0,85409.0,142158.0,8.15,47.66724,-122.38553,POINT (-122.38553 47.66724),75
3721,534_2016,2016,nonresidential,warehouse,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,106041,0,106041,non-refrigerated warehouse,106041.0,No information,0.0,No information,0.0,94.0,1123943.0,0.0,739343.0,384600.0,25.58,47.65567,-122.37478,POINT (-122.37478 47.65567),19
3725,540_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,22780,0,22780,non-refrigerated warehouse,22780.0,No information,0.0,No information,0.0,33.0,402051.3125,0.0,402051.0,0.0,2.8,47.54769,-122.3251,POINT (-122.3251 47.54769),50
3730,546_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,85400,0,85400,non-refrigerated warehouse,85400.0,No information,0.0,No information,0.0,49.0,1536998.25,0.0,1536998.0,0.0,10.72,47.54853,-122.32814,POINT (-122.32814 47.54853),50
3731,547_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,55700,0,55700,non-refrigerated warehouse,55700.0,No information,0.0,No information,0.0,63.0,519806.0938,0.0,519806.0,0.0,3.62,47.54912,-122.32819,POINT (-122.32819 47.54912),50
3734,550_2016,2016,nonresidential,warehouse,5,NORTHWEST,1.0,3.0,64660,0,64660,non-refrigerated warehouse,64660.0,No information,0.0,No information,0.0,89.0,325513.0,0.0,237813.0,87700.0,6.32,47.71286,-122.34422,POINT (-122.34422 47.71286),30
3741,557_2016,2016,nonresidential,supermarket / grocery store,5,NORTHWEST,1.0,1.0,58184,7450,50734,supermarket/grocery store,51722.0,parking,0.0,No information,0.0,41.0,14715262.0,0.0,7956442.0,6758820.0,414.43,47.69267,-122.35506,POINT (-122.35506 47.69267),13
3742,558_2016,2016,nonresidential,supermarket / grocery store,5,NORTH,1.0,1.0,58480,0,58480,supermarket/grocery store,44431.0,No information,0.0,No information,0.0,37.0,11054535.0,0.0,6817771.0,4236763.0,272.54,47.73315,-122.3105,POINT (-122.3105 47.73315),36
3744,562_2016,2016,nonresidential,retail store,7,LAKE UNION,1.0,4.0,264008,159994,104014,retail store,98863.0,No information,0.0,No information,0.0,42.0,9937707.0,0.0,7307906.0,2629800.0,190.61,47.62,-122.33027,POINT (-122.33027 47.62),20
3749,568_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,2.0,323916,0,323916,non-refrigerated warehouse,263528.0,office,60388.0,No information,0.0,92.0,8024064.5,0.0,3548085.0,4475979.0,262.45,47.56407,-122.32765,POINT (-122.32765 47.56407),25
3750,569_2016,2016,nonresidential,mixed use property,2,GREATER DUWAMISH,1.0,14.0,304052,0,304052,office,218918.0,parking,156487.0,medical office,84051.89844,66.0,21027396.0,0.0,18843504.0,2183891.0,247.35,47.5928,-122.31599,POINT (-122.31599 47.5928),84
3760,579_2016,2016,nonresidential,warehouse,1,DELRIDGE,1.0,1.0,140520,0,140520,non-refrigerated warehouse,140520.0,No information,0.0,No information,0.0,61.0,2225512.0,0.0,1310524.0,914988.0,57.73,47.53689,-122.33847,POINT (-122.33847 47.53689),48
3765,584_2016,2016,nonresidential,warehouse,1,GREATER DUWAMISH,1.0,1.0,50417,0,50417,non-refrigerated warehouse,50417.0,No information,0.0,No information,0.0,14.0,1847401.0,0.0,855017.0,992384.0,58.67,47.52696,-122.32913,POINT (-122.32913 47.52696),36
3770,589_2016,2016,nonresidential,large office,7,LAKE UNION,1.0,4.0,175885,71385,104500,office,103970.0,parking,71390.0,No information,0.0,91.0,6486377.5,0.0,6486377.0,0.0,45.22,47.6244,-122.33157,POINT (-122.33157 47.6244),16
3771,590_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,2.0,104786,0,104786,non-refrigerated warehouse,104786.0,No information,0.0,No information,0.0,93.0,1028376.875,0.0,666718.0,361659.0,23.86,47.56089,-122.33474,POINT (-122.33474 47.56089),47
3777,598_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,50832,0,50832,non-refrigerated warehouse,43920.0,office,6912.0,No information,0.0,63.0,2551022.25,0.0,613991.0,1937032.0,107.16,47.56549,-122.33221,POINT (-122.33221 47.56549),59
3779,600_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,98480,0,98480,non-refrigerated warehouse,98480.0,No information,0.0,No information,0.0,65.0,2831565.5,0.0,2403347.0,428218.0,39.5,47.56558,-122.32889,POINT (-122.32889 47.56558),60
3785,606_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,93020,0,93020,non-refrigerated warehouse,93020.0,No information,0.0,No information,0.0,60.0,1252323.875,0.0,1252324.0,0.0,8.73,47.55515,-122.3275,POINT (-122.3275 47.55515),42
3787,607_2016,2016,nonresidential,supermarket / grocery store,2,SOUTHEAST,1.0,1.0,61053,0,61053,supermarket/grocery store,54434.0,parking,0.0,No information,0.0,32.0,13133225.0,0.0,8474644.0,4658580.0,306.5,47.52095,-122.26825,POINT (-122.26825 47.52095),14
3788,608_2016,2016,nonresidential,large office,2,DOWNTOWN,5.0,7.0,154159,0,154159,office,193154.0,No information,0.0,No information,0.0,100.0,11195917.0,0.0,1608768.0,343050.0,29.43,47.59878,-122.33458,POINT (-122.33458 47.59878),103
3792,612_2016,2016,nonresidential,small- and mid-sized office,7,DOWNTOWN,1.0,4.0,69817,0,69817,office,34647.0,retail store,26039.0,No information,0.0,87.0,2178074.5,771085.1875,1245123.0,161866.0,76.8,47.59979,-122.3338,POINT (-122.3338 47.59979),116
3800,621_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,82852,0,82852,non-refrigerated warehouse,58472.0,retail store,23282.0,No information,0.0,83.0,2153603.5,0.0,1058065.0,1095539.0,65.56,47.59366,-122.32666,POINT (-122.32666 47.59366),94
3805,626_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,1.0,78814,0,78814,non-refrigerated warehouse,78814.0,No information,0.0,No information,0.0,69.0,861972.875,0.0,635127.0,226846.0,16.48,47.58781,-122.33264,POINT (-122.33264 47.58781),62
3815,638_2016,2016,nonresidential,warehouse,2,GREATER DUWAMISH,1.0,7.0,144050,0,144050,non-refrigerated warehouse,144050.0,No information,0.0,No information,0.0,26.0,3929371.0,0.0,2389825.0,1539546.0,98.43,47.58365,-122.33467,POINT (-122.33467 47.58365),90
3817,640_2016,2016,nonresidential,large office,2,GREATER DUWAMISH,0.0,6.0,1380959,0,1380959,office,1000730.0,retail store,281296.0,non-refrigerated warehouse,220303.0,79.0,74130576.0,0.0,67760546.0,6370020.0,810.7,47.58181,-122.33534,POINT (-122.33534 47.58181),104
